/******************************************/
PAII_C	 Acc	 F1	 Max_Acc
0.03125	0.77856	0.742561	0.77856
0.0625	0.77123	0.735986	0.77856
0.125	0.759708	0.725719	0.77856
0.25	0.744408	0.712185	0.77856
0.5	0.72828	0.698028	0.77856
1	0.714872	0.686297	0.77856
2	0.705653	0.678191	0.77856
4	0.700241	0.673416	0.77856
8	0.697202	0.670731	0.77856
16	0.695661	0.669378	0.77856
32	0.694779	0.668563	0.77856
/******************************************/
Best PAII_C:	0.03125
/******************************************/
AROW_r	 AROW_eta	 Acc	 F1	 Max_Acc
4	1	0.787325	0.747709	0.787353
4	2	0.787325	0.747755	0.787353
4	4	0.78731	0.747762	0.787353
4	8	0.787277	0.747739	0.787353
4	16	0.787184	0.747667	0.787353
4	32	0.787015	0.747529	0.787353
8	0.03125	0.781679	0.730243	0.787353
8	0.0625	0.784387	0.736376	0.787353
8	0.125	0.786591	0.744147	0.787353
8	0.25	0.787194	0.747065	0.787353
8	0.5	0.787303	0.747625	0.787353
8	1	0.787323	0.747738	0.787353
8	2	0.78732	0.747771	0.787353
8	4	0.787277	0.747743	0.787353
8	8	0.787198	0.747679	0.787353
8	16	0.787036	0.747553	0.787353
8	32	0.786729	0.747304	0.787353
16	0.03125	0.783842	0.735159	0.787353
16	0.0625	0.786308	0.743227	0.787353
16	0.125	0.787085	0.746567	0.787353
16	0.25	0.787275	0.747516	0.787353
16	0.5	0.787308	0.747682	0.787353
16	1	0.787307	0.747729	0.787353
16	2	0.787274	0.747723	0.787353
16	4	0.787209	0.747688	0.787353
16	8	0.78705	0.747566	0.787353
16	16	0.786755	0.747325	0.787353
16	32	0.786219	0.746886	0.787353
32	0.03125	0.785474	0.740289	0.787353
32	0.0625	0.786871	0.74578	0.787353
32	0.125	0.787213	0.747253	0.787353
32	0.25	0.787288	0.747607	0.787353
32	0.5	0.787305	0.747714	0.787353
32	1	0.787265	0.747699	0.787353
32	2	0.787219	0.74769	0.787353
32	4	0.787079	0.747588	0.787353
32	8	0.786785	0.747343	0.787353
32	16	0.786273	0.746931	0.787353
32	32	0.785342	0.746167	0.787353
/******************************************/
Best AROW_r=0.125	 AROW_eta=16
